timeid,districtid,cases
2021-08-14,Baran,1
2021-08-14,Barmer,4
2021-08-14,Bharatpur,2
2021-08-14,Bhilwara,0
2021-08-14,Bikaner,5
2021-08-14,Bundi,0
2021-08-14,Chittorgarh,0
2021-08-14,Churu,0
2021-08-14,Dausa,1
2021-08-14,Dholpur,1
2021-08-14,Dungarpur,0
2021-08-14,Evacuees,0
2021-08-14,Ganganagar,2
2021-08-14,Hanumangarh,4
2021-08-14,Italians,0
2021-08-14,Jaipur,60
2021-08-14,Jaisalmer,1
2021-08-14,Jalore,4
2021-08-14,Jhalawar,2
2021-08-14,Jhunjhunu,0
2021-08-14,Jodhpur,0
2021-08-14,Karauli,0
2021-08-14,Kota,1
2021-08-14,Nagaur,11
2021-08-14,Other State,0
2021-08-14,Pali,11
2021-08-14,Pratapgarh,5
2021-08-14,Rajsamand,2
2021-08-14,Sawai Madhopur,7
2021-08-14,Sikar,7
2021-08-14,Sirohi,0
2021-08-14,Tonk,0
2021-08-14,Udaipur,45
2021-08-14,Unknown,2535
2021-08-14,Unknown,7606
2021-08-14,Airport Quarantine,9
2021-08-14,Ariyalur,212
2021-08-14,Chengalpattu,1193
2021-08-14,Chennai,2112
2021-08-14,Coimbatore,2380
2021-08-14,Cuddalore,784
2021-08-14,Dharmapuri,289
2021-08-14,Dindigul,130
2021-08-14,Erode,1800
2021-08-14,Kallakurichi,421
2021-08-14,Kancheepuram,404
2021-08-14,Kanyakumari,334
2021-08-14,Karur,200
2021-08-14,Krishnagiri,259
2021-08-14,Madurai,222
2021-08-14,Mayiladuthurai,251
2021-08-14,Nagapattinam,385
2021-08-14,Namakkal,536
2021-08-14,Nilgiris,482
2021-08-14,Perambalur,86
2021-08-14,Pudukkottai,368
2021-08-14,Railway Quarantine,0
2021-08-14,Ramanathapuram,70
2021-08-14,Ranipet,200
2021-08-14,Salem,922
2021-08-14,Sivaganga,218
2021-08-14,Tenkasi,83
2021-08-14,Thanjavur,1078
2021-08-14,Theni,119
2021-08-14,Thiruvallur,928
2021-08-14,Thiruvarur,463
2021-08-14,Thoothukkudi,164
2021-08-14,Tiruchirappalli,759
2021-08-14,Tirunelveli,240
2021-08-14,Tirupathur,159
2021-08-14,Tiruppur,920
2021-08-14,Tiruvannamalai,470
2021-08-14,Vellore,342
2021-08-14,Viluppuram,324
2021-08-14,Virudhunagar,111
2021-08-14,Dhalai,82
2021-08-14,Gomati,212
2021-08-14,Khowai,68
2021-08-14,North Tripura,159
2021-08-14,Sipahijala,73
2021-08-14,South Tripura,218
2021-08-14,Unokoti,276
2021-08-14,West Tripura,800
2021-08-14,Agra,7
2021-08-14,Aligarh,0
2021-08-14,Ambedkar Nagar,4
2021-08-14,Amethi,0
2021-08-14,Amroha,1
2021-08-14,Auraiya,1
2021-08-14,Ayodhya,1
2021-08-14,Azamgarh,5
2021-08-14,Baghpat,2
2021-08-14,Bahraich,0
2021-08-14,Ballia,0
2021-08-14,Balrampur,3
2021-08-14,Banda,1
2021-08-14,Barabanki,8
2021-08-14,Bareilly,3
2021-08-14,Basti,1
2021-08-14,Bhadohi,2
2021-08-14,Bijnor,1
2021-08-14,Budaun,1
2021-08-14,Bulandshahr,3
2021-08-14,Chandauli,1
2021-08-14,Chitrakoot,0
2021-08-14,Deoria,1
2021-08-14,Etah,1
2021-08-14,Etawah,2
2021-08-14,Farrukhabad,0
2021-08-14,Fatehpur,6
2021-08-14,Firozabad,0
2021-08-14,Gautam Buddha Nagar,20
2021-08-14,Ghaziabad,11
2021-08-14,Ghazipur,7
2021-08-14,Gonda,1
2021-08-14,Gorakhpur,9
2021-08-14,Hamirpur,1
2021-08-14,Hapur,2
2021-08-14,Hardoi,0
2021-08-14,Hathras,0
2021-08-14,Jalaun,6
2021-08-14,Jaunpur,11
2021-08-14,Jhansi,4
2021-08-14,Kannauj,4
2021-08-14,Kanpur Dehat,3
2021-08-14,Kanpur Nagar,9
2021-08-14,Kasganj,0
2021-08-14,Kaushambi,0
2021-08-14,Kushinagar,13
2021-08-14,Lakhimpur Kheri,7
2021-08-14,Lalitpur,1
2021-08-14,Lucknow,39
2021-08-14,Maharajganj,26
2021-08-14,Mahoba,0
2021-08-14,Mainpuri,37
2021-08-14,Mathura,40
2021-08-14,Mau,2
2021-08-14,Meerut,10
2021-08-14,Mirzapur,2
2021-08-14,Moradabad,3
2021-08-14,Muzaffarnagar,9
2021-08-14,Pilibhit,1
2021-08-14,Pratapgarh,2
2021-08-14,Prayagraj,35
2021-08-14,Rae Bareli,31
2021-08-14,Rampur,8
2021-08-14,Saharanpur,0
2021-08-14,Sambhal,2
2021-08-14,Sant Kabir Nagar,1
2021-08-14,Shahjahanpur,2
2021-08-14,Shamli,0
2021-08-14,Shrawasti,1
2021-08-14,Siddharthnagar,3
2021-08-14,Sitapur,2
2021-08-14,Sonbhadra,2
2021-08-14,Sultanpur,5
2021-08-14,Unnao,2
2021-08-14,Varanasi,17
2021-08-14,Almora,612
2021-08-14,Bageshwar,50
2021-08-14,Chamoli,246
2021-08-14,Champawat,194
2021-08-14,Dehradun,720
2021-08-14,Haridwar,1374
2021-08-14,Nainital,133
2021-08-14,Pauri Garhwal,712
2021-08-14,Pithoragarh,164
2021-08-14,Rudraprayag,171
2021-08-14,Tehri Garhwal,891
2021-08-14,Udham Singh Nagar,815
2021-08-14,Uttarkashi,361
2021-08-14,Alipurduar,233
2021-08-14,Bankura,377
2021-08-14,Birbhum,123
2021-08-14,Cooch Behar,524
2021-08-14,Dakshin Dinajpur,107
2021-08-14,Darjeeling,1004
2021-08-14,Hooghly,580
2021-08-14,Howrah,516
2021-08-14,Jalpaiguri,603
2021-08-14,Jhargram,282
2021-08-14,Kalimpong,266
2021-08-14,Kolkata,865
2021-08-14,Malda,79
2021-08-14,Murshidabad,63
2021-08-14,Nadia,622
2021-08-14,North 24 Parganas,1180
2021-08-14,Other State,0
2021-08-14,Paschim Bardhaman,196
2021-08-14,Paschim Medinipur,595
2021-08-14,Purba Bardhaman,310
2021-08-14,Purba Medinipur,679
2021-08-14,Purulia,52
2021-08-14,South 24 Parganas,700
2021-08-14,Uttar Dinajpur,122
