Stateid,timeid,dose1,dose2
DL,60,432516.0,150147.0
DL,61,420102.0,185393.0
DL,62,472965.0,104987.0
DL,63,211070.0,52037.0
DL,64,222480.0,81145.0
DL,65,267860.0,155638.0
DL,66,304796.0,137733.0
DL,67,685715.0,121819.0
DL,68,837050.0,206630.0
DL,69,347699.0,169735.0
DL,70,320221.0,135129.0
DL,71,155109.0,172376.0
DL,72,93217.0,280822.0
DL,73,361519.0,270569.0
DL,74,506741.0,329534.0
DN,1,0.0,0.0
DN,2,0.0,0.0
DN,3,0.0,0.0
DN,4,0.0,0.0
DN,5,0.0,0.0
DN,6,0.0,0.0
DN,7,0.0,0.0
DN,8,0.0,0.0
DN,9,0.0,0.0
DN,10,0.0,0.0
DN,11,0.0,0.0
DN,12,0.0,0.0
DN,13,0.0,0.0
DN,14,0.0,0.0
DN,15,0.0,0.0
DN,16,0.0,0.0
DN,17,0.0,0.0
DN,18,0.0,0.0
DN,19,0.0,0.0
DN,20,0.0,0.0
DN,21,0.0,0.0
DN,22,0.0,0.0
DN,23,0.0,0.0
DN,24,0.0,0.0
DN,25,0.0,0.0
DN,26,0.0,0.0
DN,27,0.0,0.0
DN,28,0.0,0.0
DN,29,0.0,0.0
DN,30,0.0,0.0
DN,31,0.0,0.0
DN,32,0.0,0.0
DN,33,0.0,0.0
DN,34,0.0,0.0
DN,35,0.0,0.0
DN,36,0.0,0.0
DN,37,0.0,0.0
DN,38,0.0,0.0
DN,39,0.0,0.0
DN,40,0.0,0.0
DN,41,0.0,0.0
DN,42,0.0,0.0
DN,43,0.0,0.0
DN,44,23.0,0.0
DN,45,257.0,0.0
DN,46,572.0,0.0
DN,47,1403.0,0.0
DN,48,1805.0,71.0
DN,49,2316.0,394.0
DN,50,928.0,209.0
DN,51,3942.0,1210.0
DN,52,3086.0,1358.0
DN,53,4011.0,1348.0
DN,54,3713.0,680.0
DN,55,12368.0,1248.0
DN,56,24706.0,2260.0
DN,57,12834.0,2401.0
DN,58,4752.0,2206.0
DN,59,3037.0,3182.0
DN,60,2813.0,4205.0
DN,61,9081.0,5099.0
DN,62,28723.0,38.0
DN,63,40317.0,49.0
DN,64,36291.0,104.0
DN,65,43328.0,283.0
DN,66,41145.0,579.0
DN,67,60008.0,4986.0
DN,68,77257.0,15723.0
DN,69,47581.0,12135.0
DN,70,44556.0,6787.0
DN,71,19373.0,4797.0
DN,72,24891.0,3418.0
DN,73,25170.0,4142.0
DN,74,18093.0,11509.0
GA,1,0.0,0.0
GA,2,0.0,0.0
GA,3,0.0,0.0
GA,4,0.0,0.0
GA,5,0.0,0.0
GA,6,0.0,0.0
GA,7,0.0,0.0
GA,8,0.0,0.0
GA,9,0.0,0.0
GA,10,0.0,0.0
GA,11,0.0,0.0
GA,12,0.0,0.0
GA,13,0.0,0.0
GA,14,0.0,0.0
GA,15,0.0,0.0
GA,16,0.0,0.0
GA,17,0.0,0.0
GA,18,0.0,0.0
GA,19,0.0,0.0
GA,20,0.0,0.0
GA,21,0.0,0.0
GA,22,0.0,0.0
GA,23,0.0,0.0
GA,24,0.0,0.0
GA,25,0.0,0.0
GA,26,0.0,0.0
GA,27,0.0,0.0
GA,28,0.0,0.0
GA,29,0.0,0.0
GA,30,0.0,0.0
GA,31,0.0,0.0
GA,32,0.0,0.0
GA,33,0.0,0.0
GA,34,0.0,0.0
GA,35,0.0,0.0
GA,36,0.0,0.0
GA,37,0.0,0.0
GA,38,0.0,0.0
GA,39,0.0,0.0
GA,40,0.0,0.0
GA,41,0.0,0.0
GA,42,0.0,0.0
GA,43,0.0,0.0
GA,44,50.0,0.0
GA,45,921.0,0.0
GA,46,2493.0,0.0
GA,47,3996.0,0.0
GA,48,5817.0,309.0
GA,49,2845.0,964.0
GA,50,3748.0,1477.0
GA,51,17024.0,4156.0
GA,52,18901.0,4802.0
GA,53,20455.0,2625.0
GA,54,15441.0,2831.0
GA,55,19828.0,4451.0
GA,56,28866.0,9070.0
GA,57,51493.0,14593.0
GA,58,45666.0,16298.0
GA,59,44461.0,11688.0
GA,60,27329.0,9744.0
GA,61,32909.0,11207.0
GA,62,47020.0,453.0
GA,63,37256.0,293.0
GA,64,41010.0,1289.0
GA,65,56267.0,1598.0
GA,66,122640.0,3077.0
GA,67,101915.0,6866.0
GA,68,104524.0,20017.0
GA,69,64429.0,38377.0
GA,70,58469.0,42474.0
GA,71,37450.0,36859.0
GA,72,41482.0,26878.0
GA,73,32680.0,22663.0
GA,74,25430.0,34850.0
GJ,1,0.0,0.0
GJ,2,0.0,0.0
GJ,3,0.0,0.0
GJ,4,0.0,0.0
GJ,5,0.0,0.0
GJ,6,0.0,0.0
GJ,7,0.0,0.0
GJ,8,0.0,0.0
GJ,9,0.0,0.0
GJ,10,0.0,0.0
GJ,11,0.0,0.0
GJ,12,0.0,0.0
GJ,13,0.0,0.0
GJ,14,0.0,0.0
GJ,15,0.0,0.0
GJ,16,0.0,0.0
GJ,17,0.0,0.0
GJ,18,0.0,0.0
GJ,19,0.0,0.0
GJ,20,0.0,0.0
GJ,21,0.0,0.0
GJ,22,0.0,0.0
GJ,23,0.0,0.0
GJ,24,0.0,0.0
GJ,25,0.0,0.0
GJ,26,0.0,0.0
GJ,27,0.0,0.0
GJ,28,0.0,0.0
GJ,29,0.0,0.0
GJ,30,0.0,0.0
GJ,31,0.0,0.0
GJ,32,0.0,0.0
GJ,33,0.0,0.0
GJ,34,0.0,0.0
GJ,35,0.0,0.0
GJ,36,0.0,0.0
GJ,37,0.0,0.0
GJ,38,0.0,0.0
GJ,39,0.0,0.0
GJ,40,0.0,0.0
GJ,41,0.0,0.0
GJ,42,0.0,0.0
GJ,43,0.0,0.0
GJ,44,1249.0,0.0
GJ,45,43624.0,0.0
GJ,46,166678.0,0.0
GJ,47,237260.0,0.0
GJ,48,310988.0,2.0
GJ,49,50916.0,58540.0
GJ,50,11018.0,109044.0
GJ,51,592876.0,163278.0
GJ,52,540133.0,183111.0
GJ,53,869323.0,100063.0
GJ,54,1506501.0,33746.0
GJ,55,1718471.0,141764.0
GJ,56,1933596.0,283697.0
GJ,57,938722.0,342208.0
GJ,58,574344.0,525097.0
GJ,59,596883.0,646257.0
GJ,60,584044.0,617574.0
GJ,61,536418.0,638157.0
GJ,62,298440.0,55584.0
GJ,63,1122629.0,192021.0
GJ,64,1281070.0,195889.0
GJ,65,1606954.0,260016.0
GJ,66,1594163.0,241213.0
GJ,67,2214681.0,539058.0
GJ,68,1322045.0,573446.0
GJ,69,719894.0,364369.0
GJ,70,1189438.0,524363.0
GJ,71,1390917.0,574960.0
GJ,72,1388115.0,574033.0
GJ,73,2119509.0,813396.0
GJ,74,2758409.0,872633.0
HP,1,0.0,0.0
HP,2,0.0,0.0
HP,3,0.0,0.0
HP,4,0.0,0.0
HP,5,0.0,0.0
HP,6,0.0,0.0
HP,7,0.0,0.0
HP,8,0.0,0.0
HP,9,0.0,0.0
HP,10,0.0,0.0
HP,11,0.0,0.0
HP,12,0.0,0.0
HP,13,0.0,0.0
HP,14,0.0,0.0
HP,15,0.0,0.0
HP,16,0.0,0.0
HP,17,0.0,0.0
HP,18,0.0,0.0
HP,19,0.0,0.0
HP,20,0.0,0.0
HP,21,0.0,0.0
HP,22,0.0,0.0
HP,23,0.0,0.0
HP,24,0.0,0.0
HP,25,0.0,0.0
HP,26,0.0,0.0
HP,27,0.0,0.0
HP,28,0.0,0.0
HP,29,0.0,0.0
HP,30,0.0,0.0
HP,31,0.0,0.0
HP,32,0.0,0.0
HP,33,0.0,0.0
HP,34,0.0,0.0
HP,35,0.0,0.0
HP,36,0.0,0.0
HP,37,0.0,0.0
HP,38,0.0,0.0
HP,39,0.0,0.0
HP,40,0.0,0.0
HP,41,0.0,0.0
HP,42,0.0,0.0
HP,43,0.0,0.0
HP,44,202.0,0.0
HP,45,5194.0,0.0
HP,46,17391.0,0.0
HP,47,26548.0,0.0
HP,48,27408.0,449.0
HP,49,17826.0,11382.0
HP,50,6358.0,8662.0
HP,51,19965.0,24530.0
HP,52,45478.0,18159.0
HP,53,86720.0,16137.0
HP,54,96216.0,6943.0
HP,55,171215.0,4517.0
HP,56,316877.0,14656.0
HP,57,306340.0,28920.0
HP,58,211198.0,48268.0
HP,59,207336.0,78505.0
HP,60,136934.0,98532.0
HP,61,85340.0,73015.0
HP,62,116814.0,552.0
HP,63,94894.0,381.0
HP,64,92799.0,582.0
HP,65,62900.0,1784.0
HP,66,226888.0,4330.0
HP,67,631361.0,31560.0
HP,68,368035.0,135788.0
HP,69,44938.0,250204.0
HP,70,81829.0,181931.0
HP,71,235879.0,127003.0
HP,72,208385.0,106633.0
HP,73,240951.0,87535.0
HP,74,760570.0,152737.0
HR,1,0.0,0.0
HR,2,0.0,0.0
HR,3,0.0,0.0
HR,4,0.0,0.0
HR,5,0.0,0.0
HR,6,0.0,0.0
HR,7,0.0,0.0
HR,8,0.0,0.0
HR,9,0.0,0.0
HR,10,0.0,0.0
HR,11,0.0,0.0
HR,12,0.0,0.0
HR,13,0.0,0.0
HR,14,0.0,0.0
HR,15,0.0,0.0
HR,16,0.0,0.0
HR,17,0.0,0.0
HR,18,0.0,0.0
HR,19,0.0,0.0
HR,20,0.0,0.0
HR,21,0.0,0.0
HR,22,0.0,0.0
HR,23,0.0,0.0
HR,24,0.0,0.0
HR,25,0.0,0.0
HR,26,0.0,0.0
HR,27,0.0,0.0
HR,28,0.0,0.0
HR,29,0.0,0.0
HR,30,0.0,0.0
HR,31,0.0,0.0
HR,32,0.0,0.0
HR,33,0.0,0.0
HR,34,0.0,0.0
HR,35,0.0,0.0
HR,36,0.0,0.0
HR,37,0.0,0.0
HR,38,0.0,0.0
HR,39,0.0,0.0
HR,40,0.0,0.0
HR,41,0.0,0.0
HR,42,0.0,0.0
HR,43,0.0,0.0
HR,44,1864.0,0.0
HR,45,41486.0,0.0
HR,46,51793.0,0.0
HR,47,13821.0,0.0
HR,48,68718.0,590.0
HR,49,26450.0,18663.0
HR,50,13841.0,42413.0
HR,51,43546.0,12757.0
HR,52,106522.0,28108.0
HR,53,353390.0,25684.0
HR,54,368204.0,14043.0
HR,55,504758.0,17302.0
HR,56,494257.0,35052.0
HR,57,617594.0,121770.0
HR,58,325976.0,154159.0
HR,59,179394.0,94592.0
HR,60,361976.0,149404.0
HR,61,403805.0,201816.0
HR,62,434462.0,29461.0
HR,63,404594.0,42523.0
HR,64,389453.0,29997.0
HR,65,481040.0,44666.0
HR,66,493967.0,83130.0
HR,67,951790.0,151909.0
HR,68,672968.0,256587.0
HR,69,299067.0,188721.0
HR,70,409281.0,251858.0
HR,71,281337.0,192072.0
